Time,MPD,LN-MPD
2014-7-17 18:30,1052,6.958448393
2014-7-17 22:30,1222,7.10824414
2014-7-18 2:30,1198,7.088408779
2014-7-18 6:30,812,6.69950034
2014-7-18 10:30,892,6.793466133
2014-7-18 14:30,814,6.701960366
2014-7-18 18:30,799,6.683360946
2014-7-18 22:30,900,6.802394763
2014-7-19 2:30,681,6.523562306
2014-7-19 6:30,869,6.767343125
2014-7-19 10:30,994,6.901737207
2014-7-19 14:30,1067,6.972606251
2014-7-19 18:30,950,6.856461985
2014-7-19 22:30,1072,6.977281342
2014-7-20 2:30,967,6.874198495
2014-7-20 6:30,992,6.899723107
2014-7-20 9:30,925,6.829793738
2014-7-20 10:30,1134,7.033506484
2014-7-20 12:30,1318,7.183870715
2014-7-20 14:30,1171,7.065613364
2014-7-20 18:30,960,6.866933284
2014-7-20 22:30,1091,6.994849986
2014-7-21 2:30,959,6.865891075
2014-7-21 6:30,875,6.774223886
2014-7-21 10:30,719,6.577861358
2014-7-21 14:30,786,6.666956792
2014-7-21 18:30,1029,6.936342736
2014-7-21 22:30,873,6.771935556
2014-7-22 2:30,799,6.683360946
2014-7-22 6:30,800,6.684611728
2014-7-22 10:30,960,6.866933284
2014-7-22 14:30,914,6.817830571
2014-7-22 18:30,1156,7.052721049
2014-7-22 22:30,1119,7.020190708
2014-7-23 2:30,979,6.886531643
2014-7-23 6:30,933,6.838405201
2014-7-23 10:30,936,6.841615476
2014-7-23 14:30,951,6.857514063
2014-7-23 18:30,874,6.773080376
2014-7-23 22:30,1002,6.909753282
2014-7-24 2:30,1035,6.942156706
2014-7-24 6:30,981,6.88857246
2014-7-24 10:30,974,6.881411304
2014-7-24 14:30,1019,6.926577033
2014-7-24 18:30,985,6.892641641
2014-7-24 22:30,967,6.874198495
2014-7-25 2:30,827,6.717804695
2014-7-25 6:30,705,6.558197803
2014-7-25 10:30,677,6.517671273
2014-7-25 14:30,711,6.56667243
2014-7-25 18:30,1693,7.434257382
2014-7-25 22:30,1621,7.390798522
2014-7-26 2:30,1492,7.307872781
2014-7-26 6:30,1582,7.366445148
2014-7-26 10:30,1643,7.404279118
2014-7-26 14:30,1258,7.137278437
2014-7-26 18:30,958,6.864847778
2014-7-26 22:30,924,6.828712072
2014-7-27 2:30,715,6.572282543
2014-7-27 6:30,518,6.249975242
2014-7-27 10:30,679,6.520621128
2014-7-27 14:30,769,6.64509097
2014-7-27 18:30,692,6.539585956
2014-7-27 22:30,841,6.73459166
2014-7-28 2:30,942,6.848005275
2014-7-28 6:30,893,6.794586581
2014-7-28 10:30,855,6.751101469
2014-7-28 14:30,850,6.745236349
2014-7-28 18:30,669,6.50578406
2014-7-28 22:30,554,6.317164687
2014-7-29 2:30,424,6.049733455
2014-7-29 6:30,541,6.293419279
2014-7-29 10:30,724,6.584791392
2014-7-29 14:30,719,6.577861358
2014-7-29 18:30,625,6.43775165
2014-7-29 22:30,807,6.693323668
2014-7-30 2:30,691,6.538139824
2014-7-30 6:30,696,6.54534966
